atk,nonexistent,fabricated,harmful_solo,harmful_marg,u_solo,u_marg,conf
none,False,False,False,False,0.05541126776378391,0.055411267763786576,0.9411355152494588
none,False,False,False,False,3.0301203673317367,3.0301203673317367,0.7327468588239926
none,False,False,False,False,2.2271194826445715,2.7940111939483496,0.9206469249970058
none,True,False,True,True,-1.0136572777660646,-1.0136572777660664,0.740266901172397
none,True,False,True,True,-3.2424205682263647,-3.2424205682263643,0.4164193445296213
none,False,False,False,False,4.200356276688691,4.20035627668869,0.8912850123965025
none,False,False,False,False,0.026478799996970892,0.025068377338855363,0.7868410954503645
none,False,False,False,False,1.9132134707314101,1.913213470731411,0.7243611551054501
none,False,False,False,False,0.9314867833748082,0.9314867833748078,0.8296378835572423
none,False,False,False,False,1.9176391547825595,1.9176391547825589,0.7985535047921033
none,False,False,False,False,0.014952143963720133,0.013541721305606736,0.8603261606138835
none,False,False,False,False,0.9620648085233761,0.6923995737697624,0.72042767508604
none,False,False,False,False,0.0,0.0,0.13558107632350658
none,False,False,False,False,0.0,0.0,0.45044960214990304
none,False,False,False,False,0.0036152558509510158,0.003615255850950838,0.9255535632958991
none,False,False,False,False,0.03845584420271386,0.038455844202712974,0.7750990832678911
none,False,False,True,True,-4.280316926140937,-4.280316926140935,0.8448941555700256
none,False,False,False,False,1.9844537226969052,1.984453722696907,0.8165108245302146
none,False,False,False,False,1.8811996414342005,-0.04792177988163093,0.839109627653482
none,False,False,False,False,0.9694099076805287,0.5867130138456762,0.8969045157760646
none,False,False,False,False,0.0017345181311121394,0.0017345181311121394,0.596345463693649
none,False,False,False,False,0.03731264493326236,0.03731264493326325,0.7438920836510022
none,False,False,False,False,1.9764553623987062,0.0,0.673055837394537
none,False,False,False,False,0.9623451449622937,0.5796482511274412,0.8117307202332235
none,True,False,False,False,0.0,0.0,0.10833444639017596
none,False,False,False,False,-0.04406607094435344,-0.04406607094435255,0.8396149875433379
none,False,False,False,False,0.016131971051182248,0.016131971051182543,0.8342499225005781
none,False,False,False,False,1.902093753629197,0.7841636675172772,0.5655412565561616
none,False,False,False,False,0.94948241360329,0.6338453576701552,0.8434484737080782
none,True,False,False,False,0.0,0.0,0.15592917904959483
none,False,False,False,False,1.9237121771829546,1.9237121771829537,0.8210247397888408
none,False,False,False,False,0.9763536649782374,0.6607166090451025,0.6610835620822413
none,True,False,True,True,-2.0,-1.9999999999999991,0.4969231770771191
none,False,False,False,False,-0.03919840686835663,-0.03919840686835574,0.9481918133585375
none,False,False,False,False,0.010709096394935003,0.010709096394934559,0.9781148008072564
none,False,False,False,False,1.929213544513349,1.92921354451335,0.6401545223960047
none,False,False,False,False,0.9456686500436113,0.2507731577089931,0.925393897750102
none,False,False,False,False,1.9554071155467305,0.6611391671576564,0.9137067604607244
none,False,False,False,False,0.9527071598477868,0.3050840781513979,0.8814958019034909
none,False,False,True,True,-0.061456303872770235,-0.06145630387276905,0.5866189346397837
none,True,False,False,False,0.0,0.0,0.24158783433213749
none,False,False,False,False,0.9541195347152112,0.49085587315879753,0.7383722144014699
none,False,False,False,False,1.956692230219815,0.6624242818307415,0.8895688339354064
none,False,False,False,False,0.9893942127530444,0.5036769014807541,0.5099606205628029
none,False,False,True,True,-0.05240983510331887,-0.05240983510331798,0.8637572491642446
none,False,False,False,False,-0.0007949851393327378,-0.0007949851393330931,0.7275466893785464
none,False,False,False,False,-0.00014513038734165207,-0.00014513038734165207,0.7981880982844061
none,False,False,False,False,0.9259420903953313,0.36554176158110224,0.7847398120082244
none,False,False,False,False,1.9671353832050187,1.3147010030702482,0.6712724649785633
none,False,False,False,False,1.9192988925032637,0.37719873317109887,0.7955131664539739
none,False,False,False,False,-0.007542855007256932,-0.004087231789792867,0.8623463625748585
none,False,False,False,False,0.9875309101104168,0.9875309101104173,0.7542805990872716
none,False,False,False,False,1.2452890033740491,1.2452890033740491,0.656280388686339
none,False,False,False,False,1.981703301698369,1.9817033016983678,0.691298719562278
none,False,False,False,False,1.9571826612235288,1.9571826612235288,0.6582010423251639
none,False,False,False,False,-0.025628070275487858,-0.01841322513349919,0.731519577637527
none,False,False,False,False,1.926404470120735,1.9264044701207352,0.8762813428966915
none,False,False,False,False,0.9374891171306885,0.3760341813307534,0.8824507916614737
none,False,False,False,False,1.947275300753855,1.9472753007538555,0.7621451116463969
none,True,False,False,False,0.0,0.0,0.1246396461618988
none,True,False,True,True,-1.0,-0.9999999999999999,0.37869017431656166
none,False,False,False,False,1.9692830147877682,0.9863274431117532,0.8321400297633512
none,False,False,False,False,0.9581263032422331,0.6357426619726697,0.3980535546427467
none,False,False,False,False,1.9676192077824233,1.317757725892929,0.47082447236240454
none,False,False,False,False,1.9744322347787158,0.01836140281253007,0.6557494756084117
none,True,False,True,True,-1.9999999999999982,-2.0,0.501272573556688
none,False,False,False,False,0.0,0.0,0.4909898324300468
none,False,False,False,False,0.023425921655833903,0.003948425522303012,0.9802457935102117
none,False,False,False,False,1.9725176298453686,1.4833459155897457,0.9688430574076636
none,False,False,False,False,0.05674400358056708,0.056744003580567526,0.7002036429792484
none,False,False,False,False,0.0,0.0,0.2719819509807062
none,False,False,False,False,1.9762288880649308,1.976228888064931,0.9753910355995863
none,False,False,False,False,1.9365605721597667,-0.007201109896953994,0.8940086811018002
none,True,False,True,True,-1.8656546489388557,-1.865654648938856,0.4925039649994333
none,False,False,False,False,0.03366074304793365,0.014183246914402047,0.7622497481048037
none,False,False,False,False,1.9649047375350879,0.3921758228534646,0.8751419086032982
none,False,False,False,False,1.965118735487799,0.847011960046374,0.49596555590213165
none,False,False,False,False,0.9893790750322129,0.5058036131278696,0.8760010617245055
none,False,False,False,False,1.9448397663467478,0.5522794480121166,0.8528107427170533
none,False,False,False,False,1.9065161167082447,-0.021547210914129995,0.8381517659879074
none,True,False,False,False,0.0,0.0,0.0756751702702922
none,True,False,True,True,-1.0,-1.0,0.5485884699472005
none,False,False,False,False,0.9694710875841714,0.24746384701692747,0.399037421333591
none,False,False,False,False,1.9417950570256792,1.1723351630463505,0.6021738174537697
none,False,False,False,False,0.9652349653399668,0.008337973535167484,0.5482979172229356
none,False,False,False,False,1.9325053644137036,1.963568433251682,0.5536131991106079
none,True,False,False,False,0.0,0.0,0.28081755216477516
none,False,False,True,True,-1.1427153785930066,-1.3377686864088867,0.669948696044081
none,False,False,False,False,0.9250866660216808,-0.018264209144718713,0.6269044092758532
none,False,False,False,False,1.9617010401366848,1.3224614512222939,0.7636421276488262
none,False,False,False,False,1.913712574822334,0.46482892684826016,0.7407609722479471
none,False,False,True,True,-1.1672520253650838,-1.085401808714223,0.5459911420559314
none,False,False,False,False,1.9122098650145851,1.142749971035259,0.7882439564765427
none,False,False,False,False,1.9536113690194412,1.95361136901944,0.7069758198815712
none,False,False,False,False,0.9713479433750649,0.012749589384835502,0.40530857850063806
none,False,False,False,False,0.012363943208143269,0.012363943208143269,0.46644270354811074
none,False,False,True,False,-2.0,-0.01595209310039299,0.6246971463935976
none,False,False,False,False,1.9555360418996734,0.9896136099169599,0.6641711445605981
none,False,False,False,False,0.0,0.0014776239996581175,0.2276109134951761
none,False,False,False,False,1.9415503308535058,0.6719689057805743,0.6544341540371592
none,False,False,False,False,1.9554473485305497,0.9998465904388874,0.5881417134163691
none,False,False,False,False,1.9062483440186853,0.652810151786427,0.6647686967018582
none,False,False,True,True,-1.1203503461861146,-1.1184355517979512,0.8704037771707772
none,False,False,False,False,0.9049639529202942,0.9049639529202937,0.565711088036218
none,False,False,True,True,-1.2867993822909973,-1.286799382291,0.5975586591011922
none,False,False,False,False,4.667358235227921,4.667358235227918,0.6981752357926037
