R,R_se,misses,ghosts,dups,AP,RO_recall,harm_rate,malicious_accept,benefit_rate,accept_rate,soft_frac,quarantine_frac,family,knob,condition
11.020160626973185,0.17342015985035503,5.517142857142857,0.37142857142857144,0.0014285714285714286,0.3607920960526146,0.12671879212725803,0.19101123595505617,0.0014903129657228018,0.12668250197941408,0.14988658174838598,0.04021985691851335,0.00558366777176758,gate_4action,0.02,spoof
9.296728545772133,0.17844430198989458,4.311428571428571,0.4142857142857143,0.005714285714285714,0.48193510226044395,0.3213804259908331,0.22608103506979912,0.005216095380029807,0.3153206650831354,0.2877333798638981,0.0,0.0,gate_umarg,0.05,spoof
8.575230231761648,0.16839254445249432,3.9085714285714284,0.44285714285714284,0.014285714285714285,0.5286692729369761,0.38042599083310863,0.22880490296220635,0.0014903129657228018,0.382818685669042,0.32742976792880824,0.0,0.0,gate_usolo,0.05,spoof
9.686111703134094,0.17786814145848487,4.601428571428571,0.4,0.005714285714285714,0.4688654441380186,0.27284982475060665,0.21756894790602654,0.005216095380029807,0.3010688836104513,0.27569359623102424,0.06866166463095445,0.012039783632873844,gate_4action,0.05,spoof
8.00092760310816,0.1709706559825739,3.5228571428571427,0.45714285714285713,0.012857142857142857,0.5689392825890393,0.44648153141008357,0.25059584610146407,0.007451564828614009,0.49465558194774345,0.41694294189495723,0.0,0.0,gate_umarg,0.1,spoof
7.6654965571786295,0.16548186573454743,3.36,0.46714285714285714,0.018571428571428572,0.587867717467296,0.4667026152601779,0.24378617637044603,0.0022354694485842027,0.5166270783847982,0.4301169080439714,0.0,0.0,gate_usolo,0.1,spoof
8.383254944816672,0.17092077606791328,3.802857142857143,0.42714285714285716,0.007142857142857143,0.5564751496103404,0.40037746023186843,0.24378617637044603,0.005961251862891207,0.4740696753760887,0.4015878555225964,0.07982900017448961,0.015355086372360844,gate_4action,0.1,spoof
7.178689259389482,0.16713230906067209,2.9642857142857144,0.6028571428571429,0.032857142857142856,0.616196697674097,0.527365866810461,0.268300987402111,0.01713859910581222,0.6522169437846398,0.5375152678415634,0.0,0.0,gate_umarg,0.2,spoof
7.081340076550759,0.16727152165640352,2.87,0.6228571428571429,0.05,0.6362390827916485,0.5416554327311944,0.26081035069799113,0.007451564828614009,0.6609263657957245,0.5401326121095795,0.0,0.0,gate_usolo,0.2,spoof
7.4478812989176735,0.16889137438388135,3.162857142857143,0.5342857142857143,0.024285714285714285,0.620949894291079,0.49851712051765973,0.26319373510384747,0.01564828614008942,0.6324228028503563,0.5222474262781365,0.07354737393125109,0.015267841563426976,gate_4action,0.2,spoof
